Date,CPU Utilization,Total Power,CPU Power,GPU Power
 2024- 12- 13  15: 55: 0. 75,NaN************,+Inf***********,+Inf***********,19.54000000000000
 2024- 12- 13  15: 55: 0. 92,0.00000000000000,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 109,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 126,NaN************,NaN************,NaN************,19.47000000000000
 2024- 12- 13  15: 55: 0. 143,NaN************,NaN************,NaN************,19.47000000000000
 2024- 12- 13  15: 55: 0. 160,NaN************,NaN************,NaN************,19.47000000000000
 2024- 12- 13  15: 55: 0. 179,1.00000000000000,NaN************,NaN************,19.47000000000000
 2024- 12- 13  15: 55: 0. 196,1.00000000000000,+Inf***********,+Inf***********,19.47000000000000
 2024- 12- 13  15: 55: 0. 212,NaN************,+Inf***********,+Inf***********,19.47000000000000
 2024- 12- 13  15: 55: 0. 229,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 246,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 263,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 279,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 295,0.00000000000000,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 312,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 329,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 349,NaN************,+Inf***********,+Inf***********,19.44000000000000
 2024- 12- 13  15: 55: 0. 366,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 383,0.00000000000000,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 399,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 417,NaN************,NaN************,NaN************,19.44000000000000
 2024- 12- 13  15: 55: 0. 434,0.00000000000000,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 450,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 467,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 483,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 500,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 517,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 533,1.00000000000000,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 550,0.00000000000000,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 569,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 587,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 604,0.00000000000000,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 620,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 638,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 654,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 671,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 687,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 703,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 720,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 737,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 754,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 773,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 789,0.00000000000000,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 806,NaN************,NaN************,NaN************,19.53000000000000
 2024- 12- 13  15: 55: 0. 823,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 840,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 856,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 872,NaN************,NaN************,NaN************,19.54000000000000
 2024- 12- 13  15: 55: 0. 889,NaN************,NaN************,NaN************,19.54000000000000
